,Sikayet Icerigi
174,Merhaba kolay gelsin. Bodrum /Turgutreis hattını kullanmam gerekti fakat dolmuş saatinden çok geç yola çıkmıştır. 1 saattir bekliyorum bitez tarafındayım bir önceki dolmuş dolu diye bizi almadı. Dolmuş dolana kadar hareket etmiyor lütfen yardımcı olunuz böyle durumlar yaşanmasın bir daha.
176,Modamasiva isimli Instagram sitesinden bir alışveriş yaptım. Farklı sipariş kodu gönderip siparişiniz yanlış kodla gönderilmiş gibi yaptılar. Ücret iadesi yapmıyorlar. Siteye mesaj atınca hakaret edip engelliyorlar. Paramız gitti. Boş laf ile oyalıyorlar. Ogy Grup Elektronik İletişim isimli bir şirket adı kullanıyorlar.
178,"Hukuk bürosu olduğunu söyleyen kişi/kişilerden 0312 **** 72 numaralı telefon bilgileri içeren, dosyanız hukuk büromuza devredilmiştir mağdur olmamak için arayınız şeklinde mesajlar aldım. Emin olmama rağmen ben kontrollerimi yaptığımda hiçbir yasal borcum olmadığını gördüm."
185,"2 Temmuz İstanbul-Antalya uçağında yaşanan 2 saatlik rötar ardından uçağa alındık. Uçağın klimasının bozuk olduğunu söyleyerek bir saat uçak içinde bizi beklettiler. Uçağın içerisinden yazıyorum, hala uçak havalanmadı. Mağdur ediliyoruz, en kısa süre içerisinde çözüm bekliyorum."
188,"Ben mahkûm ablasıyım. Silivri Marmara Cezaevi'nde kardeşim yatıyor. Haber almışız salgın ve zehirlenme var. Bütün mahkûmlar ishal, kusma ve ateş var. Herhangi bir vaka var mı bilmiyoruz. Kardeşim bize hiçbir şey anlatamıyor. Sağlık Bakanlığı'nı ayağa kaldırın, basın mensuplarına bildirelim. Sizlerden rica ediyoruz. İlgilenin lütfen."
189,Gencontact uygulamasını indirdiğim aynı gün kredi kartımdan işlem yapılmaya başlandı. Para çekilmeye başlandı. Banka tarafından arandım. Tüm bilgilere erişiyorlar. Ben bu şirketten şikayetçiyim. Bence bu kadar tesadüf olmaz. Ben internetten alışveriş yapmıyorum.
191,"Sahibinden sayfasından almak istediğim ürün için satıcının Akbank hesabına 7000 TL para yolladım. Satıcı beni numaramı engelledi. Yatırılan tutarın iadesini talep ediyorum. Akbank dikkate al lütfen talebimi, savcılığa başvuruda bulunacağım."
192,"Araba kiralarken 200.000 TL'den oldum. Konuştuğum kişilere bir daha dönüş sağlayamadım. Gönderdiğim para H***** D**** adına gitti ve beni engellediler. Ne yapayım şimdi? Ben gidip savcılığa suç duyurusunda bulunacağım. Bir şey çıkar mı çıkmaz mı, o da muamma. Bir anlık dalgınlığımın kurbanı oldum."
194,"3 aylık Youtube.com Premium hediye olmasına rağmen kullanmama izin vermiyor. Linke basıyorum, Gmail'imi yazıyorum ama Youtube.com kabul etmiyor. Türk Telekom madem yanlış hediye veriyorsun, verme hiç daha iyi. Zaman kaybı yaşadım. Arkadaşlarımın, ailemin hatta yeni mail açarak denedim, denememe rağmen hiçbir şekilde kabul etmiyor."
199,"Yıldız Eğitim Kurumları'ndan burs başvurusu adı altında başvuru yaptım ama tamamen farklı bir amaçla kullanıldığını öğrendim. Hakkımda yapılan hiçbir işlemi kabul etmiyorum, ıslak imzamın olmadığı hiçbir işlemi kabul etmiyorum. Bilgilerimin herhangi bir yerde herhangi bir sebeple kullanılmasına asla izin ve rıza vermiyorum."
201,"30 Aralık 2023'te Diyarbakır Kelebek mağazasından mobilya aldım. 5 ay geçmesine rağmen ürünlerim teslim edilmedi. Sonrasında iade talep ettim, 1.5 aydır da iademin yapılmasını bekliyorum. Mağaza sahibi telefonlarıma cevap vermiyor, genel merkez de 'Size dönüş yapacağız' deyip dönen olmuyor."
202,26 Haziran'da PTT Kargo'dan aldığım ürünleri henüz tarafıma ulaştırmadılar PTT Kargo ile bu sorunu sık yaşamaktayız PTT Kargodan şikayetçiyim bir an evvel mağduriyetimin giderilmesini istiyorum ürünlerimi en kısa sürede adresime teslim ediniz. Ürünlerin aciliyeti var
211,"Fonex Kozmetik Wahl tıraş makinem henüz yeni olmasına rağmen aşırı ısınma sorunu var. Daha önce başka makinelerde kullandım, böyle bir ısınma görmedim. Herhalde ürün hatalı. Servis veya ürün değiştirilmesini istiyorum. Kaliteli bir ürün alalım diyoruz ama o da elimizde patlıyor. @fonexkozmetik"
212,"26 Haziran günü Gardrops uygulaması aracılığıyla PTT kargoya bir kargo verdim. 29 Haziran'da kargo Tarsus/Mersin'e gelmiş ama dağıtıma çıkmamış, Zonguldak'a gitmiş. Günlerdir orada bekliyor. Lütfen kargom Mersin'e getirilip müşterime teslim edilsin, rica ediyorum."
213,"Benim #9326164967 numaralı siparişim bana değil bir başkasına teslim edilmiş. Nasıl böyle bir şey olabilir ya, nasıl bir sorumsuzluk bu? Her önüne gelene veriyor musunuz? Bir arayın. Orada telefon numaramız var, bir alan kişiye 'Sen misin? Kodu söyle' deyin. Ya ne olacak şimdi?"
215,"Ayakkabı aldım, 42 numara sipariş ettim, 41 numara yollamışlar. Değişim yaparız dediler. Ayakkabıyı geri yolladım, elime geri ayakkabı gelmedi. Paranızı yedirmeyin. Eğer elinizde stok yoksa neden Shopier hesabınızda stok var olarak gözüküyor? Gerçekten böyle insanlara karşı temkinli olun."
220,"Garanti Bankası, katıldığım e-ticaret kampanyasından kazandığım bonusları yatırmıyor. Tüm şartlar tutmasına rağmen, alışveriş sayılmamış veya geçersiz olmuş gibi bahanelerle her ay bonuslarım yatırılmıyor. Aylık şu kadar bin harca şu TL'yi kazan kampanyasına katılıyorum, 3 katı harcama yapıyorum, o bonus da yatırılmıyor, hep bahaneler."
222,"Suriyeli D***** N** adlı bir kız, ülkeye ağza alınmayacak küfür ve hakaretler etti ve bu kızın ülkemden bir an önce gitmesini istiyoruz. Gerekli belgeleri paylaştım. Cumhurbaşkanımız Sn. R**** T***** E******'dan bu insanların bir an önce bu ülkeye bir daha asla dönmemelerini istiyoruz."
225,"www.kafkaspet.com.tr'den 2 adet 14 kiloluk mama aldım, yaklaşık 25 gün oldu fakat hem ürünü yollamıyorlar hem de paramızı iade etmiyorlar. Yorumlara baktım, birkaç kişiye daha aynısını yapmışlar. Telefonu açmıyorlar. WhatsApp'tan yazıyorum, bazen geçiştirme cevaplar yazıyorlar. Ayıp, esnaflık bu mudur?"
226,"Ben hayatımda bu kadar kötü bir kargo şirketi görmedim. İzmir'den İstanbul'a 1 günde gelen kargoyu Yenibosna'dan Bağcılar'a 2 gündür 2 defa teslim edilmek için çıkmasına rağmen nasıl teslim edemiyorsunuz, anlamış değilim. Altınyıldız gibi büyük bir şirketin de böyle kötü bir kargo firmasıyla çalışmasını anlamış değilim."
227,"Merhaba, kolay gelsin. Benim bir sorunum var. Kredi kartı borcumu ödedim ancak kartım bloke olmuş ve kullanamıyorum. Aradım. Şubeye gidin dediler. Şubeye gittim. Bizim yapabileceğimiz bir şey yok dediler. Yaklaşık 1 aya yakındır bu sorunum var. Bankaya ait tüm borçlarımı ödemiş bulunmaktayım. Kartımın açılmasını istiyorum."
229,"TTNET ve Tivibu kullanıcısıyım, borcumu maaşımın yatmasını beklediğim için geç yatırdım fakat tam da milli maçın 2. yarısı başlarken ödeme yapılmadı diye hizmeti kestiler. Tam maç anında bunu bilerek yaptılarsa gerçekten yazık. Bu duruma tepki olarak taahhüt bitince devam etmemeyi düşünüyorum."
230,Sütler bozuk ve son kullanma tarihlerinde daha var. Her yere şikayet edeceğim Pınar Sütü. Fatura ve belgelerim var. Ya çocuğum zehirlenseydi bu üründen? Böyle bir marka nasıl olur da bunu yapar? Tüketici Mahkemesi'ne ve onunla beraber bütün resmi kurumlara başvuracağım. Konu ile kimse ilgilenmez ise.
233,"Kalitebet İki Faktörlü Kimlik Doğrulama Sorunu yaşıyorum, hesabıma kardeşim girdiği için bunu açtım ama bir türlü giremiyorum ne yapmam lazım bilmiyorum lütfen benimle iletişime geçiniz. İki faktörlü kimlik doğrulamayı kaldırmadan bu sorunu çözmem gerekiyor."
235,"Olağanüstü hareketlerden dolayı satın alma devre dışı bırakılmış. Nasıl düzelir? Kimliğim kayıp olduğu için kimlik yenilemesi yapamıyorum. Ehliyetim de poliste, nasıl olacak anlamadım. Birkaç kez düzeltirler ama sürekli aynı hatayı verip duruyor. Ne yapsam da aynı."
236,Uber'den taksi çağırıyoruz. Zaten fiyat ortalaması suresi her şey gözüküyor. Bunun üzerine surucu ile eşleşiyoruz 230TL tutan yere 500e götürürüm diye mesaj atıp sart koşuluyor. Saçmalıktan başka değil! Uber'de bitmiş. Yolda özellikle yol para konuşmamak için bu uygulamalara yönlenirken yine aynı şeyleri yasamak çok kotu!
237,"+90 850 701 0015 bu numaradan 2 adet doğrulama kodu geldi. Kimdir, nedir, niçin gönderiliyor bilmiyorum. Engellemek yeterli mi? Ne yapmalıyım? Bu numaradan tarafıma doğabilecek her şey benimle alakalı değildir. Bu konuyla ilgili arkadaşlar bilgi paylaşabilir mi?"
239,"Instagram'da canta_hanzade üzerinden EFT ile çanta aldım. 2 adet yanlış ürün göndermişler. Değişim için kargo ücretini bana ödetmek istiyorlar. Asla yardım etmiyor, mesajlara cevap vermiyorlar, görüldü atıyorlar. Yanlış ürünü gönderen kendisi, değişim kargo ücreti 180 TL benim ödemem istendi."
241,"Türk Telekom'luyum. Ek paket için müşteri hizmetlerine bağlanmaya çalışırken ek internet paketi aldım. Saatlerdir iptali için müşteri hizmetleriyle konuşuyorum, asla hızlı çözüm bulmuyorlar. Üstelik sistem kaynaklı hata olduğunu söylüyorlar. Ayrıca internet o kadar hızlı bitiyor ki buna bir çözüm bulunsun artık."
244,"Mayıs 2023 tarihinde aldığım Adidas Runfalcon3 ayakkabı, toplamda 1 ay giymeden burnu delindi. Sırt kısımlarında ve dış kısımda üstelik yırtılmalar oldu. Asla memnun kalmadım. Ürünün kalitesi vasat bir ayakkabıcıdan alınmış ayakkabıdan daha kötü, emin olabilirsiniz. Gerekli yerlere şikayetlerimi ileteceğim."
246,"Sevgili arkadaşlar, Honda'yı tercih ederken en önemlisi yedek parça var mı yok mu diye önceden yoklama yapın. Araçların parçaları yok. Arıza durumunda en az üç ay arabanızı yok sayın. Yurtdışı siparişi diye çıkarmışlar, parça gelmiyor. Japon Japon inancınızı siliniz kafanızdan arkadaşlar. Saygılar."
248,Kalitebet'te Papara yatırımlarım hep geç geliyor. Slot oynayacağım bilgisayar başında beklemekten sıkılıyorum. Tamam güzel çekimleriniz çok hızlı ödeniyor ama öğle molamda oyun oynamak istiyorum. Molaya çıkmadan 15 dakika önce yatırım yapmam gerekiyor. Şu işi halledin canımı yiyin
249,"Tiktak puanım 59 ve üyeliğim pasif sürücüye alındı. Neden kaynaklı ve ne zaman kalkar? İlgili müşteri hizmetlerinden bilgi almadım. Buradan cevap verirseniz sevinirim. 3 gündür böyle mağdur kaldım. Bununla ilgili bana hiçbir şey söylenmiyor, bağlanamıyorum. Gerçekten yardım eder misiniz?"
250,"Bir aya yakın oldu. İki gün içinde getireceğiz dedikleri televizyondan emare yok. 10.000 lira paramı ve TV'yi alıp gittiler, hala getirmiyorlar. Her gün dağıtımda diyerek yalan söylüyorlar. Şebeke bunlar, malınızı çöpe atın. Mega Group ısıtma sistemlerine vermeyin."
251,"Kalitebet adlı bahis sitesine girdiğim zaman beyaz ekran hatası alıyorum. Lütfen bu konuda yardımcı olun. Yatırım yaptım ama oynayamıyorum, çünkü oyunların hiçbiri görünmüyor. Canlı desteğe bağlandığımda aldığım hatanın, güvenli internet hizmetinin açık olmasından dolayı olduğu söyleniyor; ancak kapatamadım."
253,Trendyol'dan aldığımız lambader kırık ve hasarlı geldi. Herhangi bir çözüm bulunmadı. Düğün arifesinde olduğum ve düğüne denk geldiği için iade yapamadım. Ürün kırık geldi. Telafi olarak sadece duy gönderdiler ve onlar da kırık geldi. Ürünün görsel ile alakası yok. Trendyol'dan da herhangi bir destek alamadım.
256,"Her gün 3 kere Türk Telekom'u arıyorum internet bağlantısı için. Müşteri temsilcisi ile konuştuktan sonra internet geliyor, 1 saat sonra yine yok. 450 TL para veriyorum, köyde de yaşamıyorum, Balıkesir'in merkezinde yaşıyorum. Ne sıkıntısı varsa yeter artık, bulup düzeltilsin."
257,Merhabalar. Yaklaşık 5 ay önce Millenicom internet sağlayıcısından arayarak internet hizmetimi iptal ettirmeme rağmen hala üyeliğimi iptal etmediler. Ve her ay adıma fatura düzenleyip sürekli arıyorlar. Çağrı merkezlerini aradığımda müşteri hizmetlerine ulaşmak imkansız ve nereden ulaşacağımı da bilemiyorum. Durumdan dolayı ciddi mağduriyetler yaşamaktayım.
258,"31EH434 plakalı Çanakkale-Antalya seferi 02.07.2024'te yaptığım yolculukta, ön koltuğumdaki yolcunun koltuğunu fazlasıyla yatırmasından ve buna müdahale etmediği gibi sesini yükselterek daha da sorun çıkaran muavinden şikayetçiyim. Düzen sağlayamayacak insanlara sorumluluk vermeyin. Kaç saatlik yolculuk boyunca bunun rahatsızlığını yaşadım. Kimsenin buna hakkı yok."
259,11.06.2024 tarihinde aldığım Pierre Cardin nevresim takimi hala elime ulaşmadı. Müşteri temsilcisi ile görüştüğümde yoğunluk nedeniyle elinize ulaşmadı. Her aradığımda yarin kargoya verilecek diyorlar. Ama o yarin hiç olmadı en az 6 kere telefon görüşmesi yaptım ama bir çözüm bulamadık
263,"İyi günler, uzun süredir Kalitebet'ten çekim yapıyorum hesabımı doğrulamaya çalışıyorum ama hesap doğrulanmıyor. Bu sorunu nasıl çözebiliriz, yardımcı olabilir misiniz? Birçok insan bu oyunu oynuyor ve biz sorun yaşıyoruz, zorluk çekiyoruz. İlginizi rica ediyorum, lütfen yardımcı olun."
264,Sürat Kargo 20714121718119 takip numaralı Kargomu tarafıma teslim etmedikleri halde teslim edildi diye belirtilmiş. Tüm gün dağıtımda diye evden çıkmadım. Kargomu ne yaptılar şikayetçiyim o kargomu bana getirecekler bu ne mağduriyetlik böyle. Bu sorunu çözmeliler
265,"Bilgim dışında usulsüzce sim kart değişikliği yapıldı, mağduriyetimizi ifade ettiğim halde 6 gündür hattım kullanım dışı. Telekom bu kadar önemli bir konuyu 6 gündür inceliyorum diye geçiştiriyor. Defalarca aciliyetini belirttim, konu inceleniyor efendim diye oyalıyorlar."
268,"Ban yedim sebepsiz yere kaldırılmasını rica ediyorum. Arkadaşımla konuşuyordum, ban yedim kaldırmanızı rica ederim. Lütfen acil."
271,"Kaç gün öncesinden verdiğim sipariş henüz elime ulaşmadı. Tahmini teslimat gününü de geçti. Acilen gelmesi gereken üründü, fazlasıyla geç kaldı. En kısa sürede elime ulaşmasını rica ediyorum. Yazdıklarım da iletilmiyor. Ya nakit iade ya da siparişimin elime ulaşmasını istiyorum."
272,Para çekme talebim olumsuz sonuçlandı ve kazanılan para tekrar oyun hesabıma aktarılmadı. En kısa zamanda çözüm bekliyorum ayrıca yatırdığım 1-2 para yatırmalarımda hâlâ sonuçlanmadı. Acilen buna bir çözüm bulunması gerekiyor. Kısa zamanda çözüm bekliyorum.
273,"E-Bebek'ten satın almış olduğum Orbitfix V2 oto koltuğuna çocuğumun bacağı sıkışıyor. Kemer toka geçme kısmı çok kısa, çocuğum her zaman acıyla ağlıyor. Paramızla çocuğumuzun canını yakıyoruz. Bu kadar önemli bir kısım neden bu kadar zor olur? Anlam veremiyorum."
281,"Pipet küfleniyor ve yedeği satılmıyor! Uygun yıkama koşulları ile temizlendiği halde pipeti küflendi ve asla temizlenmiyor. O siyahlıklar suluk sapasağlam ama yedeği olmadığından küflü su içeremeyeceğimiz için çöp oldu resmen. Ya yedek üretilsin ya da yedekli satışa sunulsun, zaten pahalı bir ürün!"
286,"Ürünü alırken aynı gün kargo diye yazıyorlardı, 3 gün geçti hala kargoya verilmedi. Ürünlerimi ve fatura kesmişler. Müşteri temsilcisi ciddiyetsiz ve lakayıt, böyle ciddiyetsiz bir firma görmedim. Fatura tarihinden itibaren 7. günde yasal işlem başlatmayı düşünüyorum. Hiç güven vermediler."
287,"Selimpaşa Aras Kargo şubesindeki Ö*** isimli kadın, müşterilerle saygısız ve sesini yükselterek konuşuyor. İçerideki çalışanlar saygıdan yoksun kalmışlar. Bu gidişle daha çok şikayet alırsınız. Alay eder gibi cevapları var. Derhal buna çözüm bulunması gerek."
289,"Çok fonksiyonlu masaj aleti H8 aldım, 2 kere kullandım, şarj almıyor. Daha koruma şeridi duruyor. Üstünde ne yapabilirim? Bana yardımcı olur musunuz? Servis nerelerde var? Ben İstanbul Gaziosmanpaşa'da oturuyorum, bilgi istiyorum. Daha ne yazacağımı bilmiyorum..."
290,"Metro Turizm'den aldığım 15 Haziran tarihli biletin iptali için görüştüm, ücret iadesi halen yapılmadı. Firmaya ulaşmak mümkün değil. 1.5 saat hatta bekletiliyorum, ne cevap veren var ne de kaçıncı sırada olduğum belli değil. Acilen ücret iademin yapılmasını talep ediyorum."
291,"QNB Finansbank görüntülü görüşme ile yeni müşteriye faizsiz kredi reklamları her yerde görüyordum. Müşterisi olduk, ne kredi kartı ne kredi, hiçbirini onaylamadı. Hep red. Ödemelerim düzenli, Findeks puanım çok güzel. Yalan reklam, faizsiz kredi vermemek için bir bahane buluyorlar."
292,Merhaba
293,"Evde 100 GB magnet tarifeme ek paket yapmak istiyorum ama yapamıyorum. Müşteri hizmetlerini aradım, onlar da hata verdi diyor. Her ay faturamı ödüyorum, neden bu şekilde oluyor anlamıyorum. Tarifemi değiştirin dedim, ona da hata verdi. Nedir, Türk Telekom'dan çıkmamız mı lazım?"
296,"Alt tarafı müşteri temsilcisine bağlanacağım, PUK kodu öğreneceğim. Bu kadar zor olamaz ya, gerçekten iki saat uğraştırıyorsunuz. Ne biçim bir sistem kurduysanız artık anlamıyorum. Hemen düzeltilsin mümkünse eğer, acilen. Yeter, bu kadar saçmalık olamaz gerçekten!"
